-6004.844,1,55716
-5988.580,1,51554
-5972.338,1,50532
-5956.118,1,50466
-5939.919,1,50484
-5923.741,1,50303
-5907.584,1,50407
-5891.449,1,50387
-5875.335,1,50329
-5859.242,1,50368
-5843.170,1,50406
-5827.119,1,50457
-5811.090,1,50341
-5795.081,1,50374
-5779.093,1,50415
-5763.126,1,50374
-5747.180,1,50535
-5731.255,1,50369
-5715.351,1,50432
-5699.467,1,50418
-5683.604,1,50402
-5667.762,1,50370
-5651.940,1,50402
-5636.139,1,50414
-5620.359,1,50360
-5604.599,1,50479
-5588.859,1,50376
-5573.140,1,50442
-5557.441,1,50400
-5541.763,1,50422
-5526.105,1,50491
-5510.467,1,50428
-5494.849,1,50429
-5479.252,1,50490
-5463.674,1,50499
-5448.117,1,50446
-5432.580,1,50519
-5417.063,1,50465
-5401.566,1,50488
-5386.089,1,50564
-5370.632,1,50489
-5355.194,1,50575
-5339.777,1,50538
-5324.379,1,50523
-5309.001,1,50600
-5293.643,1,50501
-5278.305,1,50583
-5262.986,1,50547
-5247.687,1,50538
-5232.407,1,50548
-5217.147,1,50598
-5201.906,1,50581
-5186.685,1,50574
-5171.483,1,50546
-5156.301,1,50608
-5141.138,1,50546
-5125.994,1,50611
-5110.870,1,50648
-5095.764,1,50694
-5080.678,1,50654
-5065.612,1,50647
-5050.564,1,50626
-5035.535,1,50628
-5020.526,1,50720
-5005.535,1,50734
-4990.564,1,50757
-4975.611,1,50671
-4960.677,1,50700
-4945.763,1,50733
-4930.867,1,50679
-4915.989,1,50671
-4901.131,1,50719
-4886.291,1,50644
-4871.470,1,50657
-4856.668,1,50693
-4841.884,1,50680
-4827.119,1,50812
-4812.373,1,50835
-4797.645,1,50687
-4782.935,1,50790
-4768.244,1,50689
-4753.572,1,50779
-4738.917,1,50822
-4724.281,1,50802
-4709.664,1,50851
-4695.065,1,50895
-4680.483,1,50905
-4665.921,1,50936
-4651.376,1,50974
-4636.849,1,50989
-4622.341,1,50889
-4607.851,1,50882
-4593.378,1,50834
-4578.924,1,50995
-4564.488,1,50962
-4550.069,1,51012
-4535.669,1,50994
-4521.286,1,50933
-4506.921,1,51017
-4492.575,1,50902
-4478.245,1,51015
-4463.934,1,51081
-4449.640,1,51097
-4435.364,1,51007
-4421.106,1,51153
-4406.865,1,51098
-4392.642,1,51199
-4378.436,1,51103
-4364.248,1,51172
-4350.077,1,51128
-4335.924,1,51117
-4321.788,1,51133
-4307.670,1,51131
-4293.569,1,51183
-4279.485,1,51167
-4265.418,1,51347
-4251.369,1,51309
-4237.337,1,51378
-4223.323,1,51296
-4209.325,1,51393
-4195.344,1,51506
-4181.381,1,51369
-4167.435,1,51387
-4153.505,1,51458
-4139.593,1,51344
-4125.698,1,51406
-4111.819,1,51406
-4097.958,1,51377
-4084.113,1,51357
-4070.286,1,51363
-4056.475,1,51330
-4042.681,1,51424
-4028.903,1,51487
-4015.143,1,51403
-4001.399,1,51530
-3987.671,1,51443
-3973.961,1,51430
-3960.267,1,51478
-3946.589,1,51526
-3932.928,1,51577
-3919.284,1,51590
-3905.656,1,51536
-3892.045,1,51637
-3878.450,1,51568
-3864.871,1,51626
-3851.309,1,51597
-3837.763,1,51677
-3824.233,1,51784
-3810.720,1,51734
-3797.223,1,51833
-3783.742,1,51829
-3770.277,1,51869
-3756.829,1,51865
-3743.396,1,51829
-3729.980,1,51927
-3716.580,1,52026
-3703.196,1,51918
-3689.827,1,51997
-3676.475,1,51897
-3663.139,1,51998
-3649.819,1,52021
-3636.514,1,52051
-3623.226,1,52072
-3609.953,1,51935
-3596.696,1,52067
-3583.455,1,52172
-3570.230,1,52161
-3557.021,1,52225
-3543.827,1,52252
-3530.649,1,52279
-3517.486,1,52349
-3504.339,1,52282
-3491.208,1,52352
-3478.092,1,52215
-3464.992,1,52266
-3451.907,1,52318
-3438.838,1,52350
-3425.784,1,52447
-3412.746,1,52328
-3399.723,1,52505
-3386.716,1,52497
-3373.723,1,52627
-3360.746,1,52621
-3347.785,1,52580
-3334.839,1,52567
-3321.907,1,52584
-3308.992,1,52624
-3296.091,1,52650
-3283.205,1,52760
-3270.335,1,52750
-3257.480,1,52812
-3244.639,1,52800
-3231.814,1,52809
-3219.004,1,52949
-3206.209,1,52978
-3193.429,1,52997
-3180.663,1,53136
-3167.913,1,52999
-3155.178,1,53099
-3142.457,1,53061
-3129.751,1,53006
-3117.061,1,53045
-3104.384,1,53097
-3091.723,1,53178
-3079.076,1,53315
-3066.445,1,53430
-3053.827,1,53495
-3041.225,1,53626
-3028.637,1,53814
-3016.064,1,53910
-3003.505,1,54017
-2990.961,1,54291
-2978.431,1,54147
-2965.916,1,54221
